particle type,dGOW,POW,perm,log10(perm)
SP6,-12.2,-2.136602452,0.17,-5.769551079
SP3,-7.7,-1.348511384,35,-3.455931956
SP1,-5.2,-0.9106830123,97,-3.013228266
SN6,-4.2,-0.7355516637,,#NUM!
SN5,-3.6,-0.6304728546,402,-2.395773947
SN4,-0.898,-0.157267951,,#NUM!
P1,-1.95,-0.3415061296,555,-2.255707017
SN3,-1.8,-0.3152364273,2050,-1.688246139
N5,0.01,0.001751313485,2000,-1.698970004
SN2,2.132,0.373380035,7690,-1.11407366
SN1,3.6,0.6304728546,10360,-0.9846402446
SC6,5.3,0.9281961471,12770,-0.8938091027
SC5,6.3,1.103327496,11550,-0.9374180158
N1,8.08,1.415061296,8600,-1.065501549
