,satur index,sterol conc,particle,compress,perm,perm err,starting conf_LOrdered,starting conf_fluid,starting conf_gel
0,0.15,45,R,158.91365238898038,0.11128940348939038,0.03326930582212091,1,0,0
1,0.25,45,R,135.98858794462546,0.216495530349607,0.07247937791687756,1,0,0
2,0.4,45,R,105.08581893350788,0.253611062457779,0.06063537097769947,1,0,0
3,0.3,45,R,121.394171653059,0.23263441982481028,0.07403300112138862,1,0,0
4,0.05,45,R,203.49404054031152,0.05191981060027921,0.0144631675335011,1,0,0
5,0.0,45,R,227.0706070239732,0.03739659780153518,0.0109492840131805,1,0,0
6,0.1,45,R,179.70534674303832,0.08662826094211147,0.030717488158064164,1,0,0
7,0.2,45,R,152.74068000701456,0.15697050674220248,0.05078246572605826,1,0,0
8,0.35,45,R,115.115072510009,0.18212231061313092,0.04927832878769746,1,0,0
9,0.5,45,R,92.77631166273727,0.39880067750243264,0.1276378475561116,1,0,0
10,0.45,45,R,96.55119220317007,0.2970494011821638,0.08637698436122253,1,0,0
11,0.15,45,T,167.79715935611804,0.2924932461062416,0.055229192345205236,1,0,0
12,0.25,45,T,134.04858058452012,0.36701579227091613,0.07468431900531255,1,0,0
13,0.4,45,T,105.28941847615393,0.4280317339911084,0.07251953628970914,1,0,0
14,0.3,45,T,124.10069855546027,0.39378844386660655,0.07076383908731464,1,0,0
15,0.05,45,T,201.28121351009304,0.24456652227388825,0.04330490905075914,1,0,0
16,0.0,45,T,224.09612295085319,0.21951668337964514,0.03650005472374907,1,0,0
17,0.1,45,T,182.17866323618543,0.3322001908698688,0.06522291440153424,1,0,0
18,0.2,45,T,148.86633513568157,0.28872446100715304,0.05520968463240314,1,0,0
19,0.35,45,T,111.92239064775494,0.39042060572840886,0.07983139918110639,1,0,0
20,0.5,45,T,93.19363127003562,0.4243509699534771,0.06574474804726797,1,0,0
21,0.45,45,T,97.29353502632273,0.42330519018062834,0.07017166388073862,1,0,0
22,0.15,45,S,164.0812020542002,0.17689847994855087,0.03820884658616059,1,0,0
23,0.25,45,S,134.23667034528646,0.24280259348485647,0.04617013564651032,1,0,0
24,0.4,45,S,107.50934652264091,0.3538834224551168,0.07187300848507325,1,0,0
25,0.3,45,S,121.37463642071572,0.2892381287438881,0.06172081732475151,1,0,0
26,0.05,45,S,206.15424704810044,0.1501273063921744,0.03691524852805783,1,0,0
27,0.0,45,S,219.05119174335448,0.12259075562386997,0.033686356755932116,1,0,0
28,0.0,45,S,,0.12151933530263512,0.023433207180591602,1,0,0
29,0.1,45,S,183.07324256200644,0.1493351862272959,0.03330164357970834,1,0,0
30,0.2,45,S,146.93477027672824,0.20546624379462647,0.03908812283693992,1,0,0
31,0.35,45,S,115.58238487388569,0.22812123935873352,0.039547719774297926,1,0,0
32,0.5,45,S,92.42909628488577,0.3415796364618047,0.062336305348415014,1,0,0
33,0.45,45,S,97.6193951180014,0.35538952183338113,0.07169570499179355,1,0,0
34,0.2,15,R,18.527468762554715,0.4667527848577188,0.24144776679004107,0,0,1
35,0.2,15,R,68.24824446644125,0.41733704423075146,0.09352313213316811,0,1,0
36,0.3,15,R,52.20229575606829,0.4211585730859502,0.12546891547184563,0,0,1
37,0.3,15,R,64.92023754643203,0.42253613440773147,0.09285592799942703,0,1,0
38,0.05,15,R,535.393498815576,0.02329751208984569,0.03440294853453856,0,0,1
39,0.05,15,R,72.65846583151712,0.3064431759377121,0.08042211124697135,0,1,0
40,0.5,15,R,59.09698463860504,0.49251651112485506,0.10835690505776761,0,0,1
41,0.5,15,R,61.10813221297409,0.8928266782019855,0.23893826199076348,0,1,0
42,0.0,15,R,622.7736281224229,0.0013643053887904143,0.0034622411512743286,0,0,1
43,0.0,15,R,18.90816711126887,0.027355078769712382,0.20739319252540178,0,1,0
44,0.1,15,R,459.38256634710166,0.01399631512373583,0.026425150996182697,0,0,1
45,0.1,15,R,70.85258533352864,0.5109694199284371,0.13652974998808032,0,1,0
46,0.45,15,R,58.68420437040557,0.4843371629100411,0.11038408501956885,0,0,1
47,0.45,15,R,62.12837790912957,0.5836721879903481,0.13339370791042546,0,1,0
48,0.25,15,R,29.75275587728102,0.5534315934193771,0.13677204934269688,0,0,1
49,0.25,15,R,65.58988239491836,0.6113287323162294,0.16007405585591158,0,1,0
50,0.15,15,R,3.3810628540255525,0.27211873026859035,0.10451473793347744,0,0,1
51,0.15,15,R,68.49313102014861,0.4661021758735639,0.10030600905480379,0,1,0
52,0.4,15,R,55.3357800725957,0.5425344948025216,0.13621103127664377,0,0,1
53,0.4,15,R,63.72000033867477,0.667944089197667,0.17881991828970104,0,1,0
54,0.35,15,R,52.39764005979757,0.46816903297196727,0.08383123336371713,0,0,1
55,0.35,15,R,64.24974482310262,0.5472732862237623,0.12960962198970763,0,1,0
56,0.2,15,T,9.260612122623934,0.3132378543583844,0.07989863974464065,0,0,1
57,0.2,15,T,68.81137133928327,0.7215713769331302,0.14098295902238014,0,1,0
58,0.3,15,T,36.012384078822585,0.6848252929866954,0.10963926555329637,0,0,1
59,0.3,15,T,64.59172405418381,0.8674416681630611,0.15316066948767054,0,1,0
60,0.05,15,T,495.6847276941368,0.031203255277471795,0.006619095048671811,0,0,1
61,0.05,15,T,72.04958286295178,0.45448256069206344,0.07051785673149388,0,1,0
62,0.5,15,T,57.755594317105654,0.8563619555941365,0.16872617772194645,0,0,1
63,0.5,15,T,61.64137361510887,0.837231761384752,0.14248279244345954,0,1,0
64,0.0,15,T,623.7764465443846,0.027194019174961767,0.006012569550391667,0,0,1
65,0.0,15,T,78.65236318959829,0.020547447257500226,0.0042966386306225604,0,1,0
66,0.1,15,T,511.7163716543776,0.04702120174616266,0.008221135007071782,0,0,1
67,0.1,15,T,71.34619455200146,0.5630621937315671,0.09212826930716798,0,1,0
68,0.45,15,T,58.73637249001603,0.705371006169865,0.12205488671419158,0,0,1
69,0.45,15,T,60.397533714407814,0.7745233416981566,0.12897896657445584,0,1,0
70,0.25,15,T,21.83914281852099,0.7392548791915721,0.1430853542033838,0,0,1
71,0.25,15,T,66.1794160780087,0.6350525159667413,0.1033224426147443,0,1,0
72,0.15,15,T,387.84219519514915,0.051416498079491425,0.007714476971870865,0,0,1
73,0.15,15,T,70.08079083647044,0.6491596069490887,0.10871600046890692,0,1,0
